model,constant,pearson_correlation,spearman_correlation,slope,intercept,viscosity_relation,number_of_fluids
best_model_0,c_0,0.988957903122342,0.9793393655550053,0.020782270834907874,0.0878702190706006,c_0 = 0.0207823 * viscosity + 0.0878702,18
best_model_0,c_1,0.9646827037537118,0.9586781975053216,0.023565879619311527,0.1254157842643508,c_1 = 0.0235659 * viscosity + 0.125416,18
